stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
53235,905210,LAVISTA RD @ MAIN ST,0 LAVISTA RD & MAIN ST,33.85582,-84.214747,,,,,,0
53252,905327,CLAIRMONT RD @ CENTURY PL,0 CLAIRMONT RD NE & CENTURY PL NE,33.848104,-84.315439,,,,,,0
53254,905328,CLAIRMONT RD@MCJENKIN DR,0 CLAIRMONT RD NE & MCJENKINS DR NE,33.850395,-84.315395,,,,,,0
53256,905329,CLAIRMONT RD@CLAIRMONT NORTH  NE,0 CLAIRMONT RD NE & CLAIRMONT NORTH NE,33.852337,-84.314611,,,,,,0
53258,905211,CLAIRMONT RD@TANGLEWOOD CIR,0 CLAIRMONT RD NE & TANGLEWOOD CIR NE,33.854682,-84.313065,,,,,,0
53260,905212,CLAIRMONT RD@CLAIRMONT TER,0 CLAIRMONT RD NE & CLAIRMONT TER NE,33.855935,-84.312303,,,,,,0
53262,905213,CLAIRMONT RD@BUFORD HWY,0 CLAIRMONT RD NE & BUFORD HWY NE,33.857904,-84.311834,,,,,,0
53267,905331,N DRUID HILLS RD @ N CLIFF VALLEY WAY,N DRUID HILLS RD NE & N CLIFF VALLEY WAY NE,33.844801,-84.339166,,,,,,0
53306,905457,BRIARWOOD RD@BUFORD HWY,0 BRIARWOOD & BUFORD,33.84538,-84.32756,,,,,,0
53308,905573,BRIARWOOD RD@KEYS CROSSING,0 BRIARWOOD & KEYS CROSSING,33.84701,-84.3283,,,,,,0
53310,905574,BRIARWOOD RD@PINE CONE LN,0 BRIARWOOD & PINE CONE,33.84797,-84.32928,,,,,,0
53312,905575,BRIARWOOD RD@BRIARWOOD WAY,0 BRIARWOOD RD NE & BRIARWOOD WAY NE,33.848972,-84.330568,,,,,,0
53320,905804,BRIARWOOD RD@ 1322,1322 BRIARWOOD RD NE,33.852471,-84.335989,,,,,,0
53326,905805,BRIARWOOD RD NE @ LIMEHURST DR,,33.851746,-84.335227,,,,,,0
53328,905806,BRIARWOOD RD NE @ YANCY LN NE,0 BRIARWOOD RD NE & YANCEY LN NE,33.84942,-84.332016,,,,,,0
53330,905690,BRIARWOOD RD NE @ BRIARWOOD WAY,0 BRIARWOOD RD NE & BRIARWOOD WAY NE,33.848892,-84.330546,,,,,,0
53332,905691,BRIARWOOD RD NE @ PINE CONE LN NE,0 BRIARWOOD RD NE & PINE CONE LN NE,33.847943,-84.329403,,,,,,0
53334,905692,BRIARWOOD RD NE @ KEYS CROSSING,BRIARWOOD RD NE & KEYS CROSSING DR NE,33.847111,-84.328511,,,,,,0
53336,905693,BRIARWOOD RD NE @ 3446,,33.845196,-84.327607,,,,,,0
53386,905696,BUFORD HWY NE @ KNOLL PL,BUFORD HWY NE & KNOLL PL NE,33.845554,-84.325681,,,,,,0
53516,906055,N DRUID HILLS RD @ COLONIAL DR,0 N DRUID HILLS RD NE & COLONIAL DR NE,33.850788,-84.338841,,,,,,0
53518,906056,BRIARWOOD RD NE @ N DRUID HILLS RD,0 BRIARWOOD RD NE & DRUID HILLS RD,33.853169,-84.338776,,,,,,0
53520,905940,CLAIRMONT RD NE @ CENTURY PL,0 CLAIRMONT RD NE & CENTURY PL NE,33.847451,-84.315526,,,,,,0
53900,905697,BROOKHAVEN/OGLETHORPE STATION,4047 PEACHTREE RDNE,33.86025,-84.339147,,,,,,0
54024,905820,BUFORD HWY NE @ 4203,,33.864822,-84.303986,,,,,,0
54026,905173,BUFORD HWY NE@PLASTER RD,0 BUFORD & PLASTER,33.865654,-84.303093,,,,,,0
54046,905292,SHALLOWFORD RD@FLAIR KNOLL DR,0 SHALLOWFORD & FLAIR KNOLL,33.858082,-84.283357,,,,,,0
54048,905293,SHALLOWFORD RD@FLAIR KNOLL DR,0 SHALLOWFORD RD NE & FLAIR KNOLL DR NE,33.858228,-84.283727,,,,,,0
54070,906011,BRIARCLIFF RD@OAKAWANA DR,0 BRIARCLIFF RD NE & OAKAWANA DR NE,33.84383,-84.291538,,,,,,0
54072,906012,BRIARCLIFF RD@OAK GROVE RD,0 BRIARCLIFF RD NE & OAK GROVE RD NE,33.845458,-84.286259,,,,,,0
54074,905942,BRIARCLIFF RD@OAK GROVE RD,0 BRIARCLIFF & OAK GROVE,33.845676,-84.285329,,,,,,0
54076,905943,BRIARCLIFF RD@WOODWARDIA RD,0 BRIARCLIFF RD NE & WOODWARDIA RD NE,33.847148,-84.28395,,,,,,0
54078,905944,BRIARCLIFF RD@BRIARLAKE RD,0 BRIARCLIFF & BRIARLAKE,33.849057,-84.28326,,,,,,0
54080,905945,BRIARCLIFF RD@SUNRISE DR,0 BRIARCLIFF RD NE & SUNRISE DR NE,33.853726,-84.281846,,,,,,0
54082,906013,SHALLOWFORD RD@MELINDA DR,0 SHALLOWFORD & MELINDA,33.855598,-84.281631,,,,,,0
54084,906014,SHALLOWFORD RD NE@BRADFORD SQ NE,0 SHALLOWFORD RD NE & BRADFORD SQ NE,33.861353,-84.286403,,,,,,0
54086,906060,SHALLOWFORD RD@BRIARLAKE CT,0 SHALLOWFORD RD NE & BRIARLAKE CT NE,33.862919,-84.287328,,,,,,0
54088,906061,SHALLOWFORD RD@FRONTIER TRL,0 SHALLOWFORD RD NE & FRONTIER TRL,33.865837,-84.289645,,,,,,0
54092,905946,SHALLOWFORD RD @ DRESDEN DR,0 SHALLOWFORD RD NE & DRESDEN DR NE,33.869919,-84.290264,,,,,,0
54094,905947,SHALLOWFORD RD@2868,2868 SHALLOWFORD RD NE & WOODSIDE WAY,33.871458,-84.29047,,,,,,0
54096,905948,SHALLOWFORD RD@DRESDEN DR,0 SHALLOWFORD RD NE & DRESDEN DR NE,33.870053,-84.290373,,,,,,0
54098,905949,SHALLOWFORD RD@2728,2728 SHALLOWFORD RD NE,33.866911,-84.289786,,,,,,0
54100,906062,SHALLOWFORD RD@FRONTIER TRL,0 SHALLOWFORD RD NE & FRONTIER TRL,33.8659,-84.289863,,,,,,0
54102,905530,SHALLOWFORD RD@BRIARLAKE CT,0 SHALLOWFORD & BRIARLAKE,33.862595,-84.287436,,,,,,0
54104,905531,SHALLOWFORD RD@LAKE FLAIR CT,0 SHALLOWFORD & LAKE FLAIR,33.85959,-84.285079,,,,,,0
54108,905415,SHALLOWFORD RD@MELINDA DR,0 SHALLOWFORD RD NE & MELINDA DR NE,33.855632,-84.281856,,,,,,0
54110,905416,BRIARCLIFF RD@RAINTREE DR,0 BRIARCLIFF RD NE & RAINTREE DR NE,33.852643,-84.28262,,,,,,0
54112,905461,BRIARCLIFF RD@CIRCLEWOOD RD,0 BRIARCLIFF RD NE & CIRCLEWOOD RD NE,33.850379,-84.283209,,,,,,0
54114,905462,BRIARCLIFF RD@WOODWARDIA RD,0 BRIARCLIFF RD NE & WOODWARDIA RD NE,33.847247,-84.284005,,,,,,0
54116,905533,BRIARCLIFF RD@HERITAGE DR,0 BRIARCLIFF RD NE & HERITAGE DR NE,33.844841,-84.288011,,,,,,0
54118,905534,BRIARCLIFF RD@BRIARWILLOW DR,0 BRIARCLIFF RD NE & BRIARWILLOW DR NE,33.84434,-84.289427,,,,,,0
54120,905535,BUFORD HWY NE @ BRAGG ST,0 BUFORD & BRAGG,33.869253,-84.299548,,,,,,0
54124,905463,BUFORD HWY NE @ PLASTER RD,0 BUFORD & PLASTER,33.865248,-84.304073,,,,,,0
54128,905465,BUFORD HWY NE @ OAK SHADOW DR NE,,33.862521,-84.306967,,,,,,0
54132,905466,I-85 ACCESS RD@CENTURY BLVD NE,0 I-85 ACCESS & CENTURY,33.847752,-84.304855,,,,,,0
54134,905239,I-85 ACCESS RD@CENTURY BLVD,0 I-85 ACCESS & CENTURY,33.846251,-84.30585,,,,,,0
54136,905307,I-85 ACCESS RD@CENTURY BLVD NE,0 I-85 ACCESS & CENTURY,33.845127,-84.306496,,,,,,0
54138,905308,I-85 ACCESS RD NORTH (N.E. EXPY) @ 3001,,33.8664,-84.285998,,,,,,0
